CBPF Name,CBPF Funding,CBPF Target,CBPF Funding as % of HRP Funding,HRP Funding,HRP Requirements,Has HRP?
Sudan,169307353.72,283440975,8.95,1889606500,2695680744,yes
Ukraine,137009724.41,368083774.5,5.58,2453891830,3107702931,yes
oPt,101820634.16,383353177.2,3.98,2555687848,3422855934,yes
Afghanistan,54336556.24,243793270.95,3.34,1625288473,3059587797,yes
Syria,54158328.63,109680048.6,7.4,731200324,4074158710,yes
DRC,51263370.47,204123630.45,3.76,1360824203,2580627746,yes
Yemen,39940092.56,229993970.25,2.6,1533293135,2705762394,yes
Myanmar,33955368.8,58759794.9,8.66,391731966,993548103,yes
Ethiopia,32786823.63,152566818.9,3.22,1017112126,3235782784,yes
South Sudan,32420772.59,183434233.35,2.65,1222894889,1788817122,yes
Somalia,30604094.79,131885232.15,3.48,879234881,1585259297,yes
Lebanon,26786245.6,56341091.55,7.13,375607277,425745000,yes
Syria Cross border,18201016.11,109680048.6,2.48,731200324,4074158710,yes
Nigeria,17222057.17,83281685.55,3.1,555211237,926542686,yes
CAR,16687305.47,36067006.95,6.94,240446713,367670976,yes
Burkina Faso (RhPF-WCA),13133577.2,64472470.35,3.05,429816469,934604385,yes
Mali (RhPF-WCA),10961977.66,41477915.4,3.96,276519436,701569941,yes
Chad (RhPF-WCA),10958773.05,97608472.65,1.68,650723151,1124572823,yes
Niger (RhPF-WCA),10758022.02,52596975.45,3.06,350646503,662192757,yes
Venezuela,9287991.46,26322446.4,5.29,175482976,617034811,yes
Mozambique (RhPF),3295370.01,25409107.05,1.94,169394047,413420177,yes
Colombia,0,29741992.65,0,198279951,331990687,yes
Haiti,0,44193668.1,0,294624454,673767352,yes
