Country,City 1,City 1_population,City 2,City 2_population,City 3,City 3_population
Afghanistan,Kabul,4434550,Kandahar,523300,Herat,574300
Algeria,Algiers,2364230,Oran,803329,Boumerdas,786599
Angola,Luanda,2776168,Huambo,595304,Benguela,555124
Argentina,Buenos Aires,2891082,Cordoba,1317298,Rosario,948312
Bangladesh,Dhaka,10356500,Chittagong,3920222,Khulna,1500689
Benin,Cotonou,679012,Porto-Novo,264320,Abomey-Calavi,385755
Bolivia,Santa Cruz de la Sierra,1831434,La Paz,2004652,Cochabamba,841276
Bosnia and Herzegovina,Sarajevo,696731,Banja Luka,221106,Tuzla,142486
Bulgaria,Sofia,1152556,Plovdiv,346893,Varna,312770
Burkina Faso,Ouagadougou,2415266,Bobo-Dioulasso,904920,Koudougou,160239
Burundi,Bujumbura,769317,Gitega,64904,Ngozi,61716
Cambodia,Phnom Penh,1573544,Siem Reap,139458,Battambang,119251
Cameroon,Douala,4493090,Yaounde,5027120,Bamenda,657875
Central African Republic,Bangui,812407,Bimbo,348802,Berberati,61815
Chad,N'Djamena,1359526,Moundou,196124,Abeche,74188
Congo,Brazzaville,1982000,Pointe-Noire,1032000,Dolisie,121000
Costa Rica,San Jose,335007,Limon,63081,Puntarenas,35650
Dominican Republic,Santo Domingo,2201941,Santiago de los Caballeros,1200000,Puerto Plata,146000
DRC,Kinshasa,16000000,Goma,432587,Lubumbashi,2221925
Ecuador,Guayaquil,2723665,Quito,2781641,Esmeraldas,218727
El Salvador,San Salvador,525990,Santa Ana,176661,San Miguel,247126
Ethiopia,Addis Ababa,3860000,Dire Dawa,343000,Adama,456900
Ghana,Accra,1963264,Kumasi,2544530,Tamale,464316
Guatemala,Guatemala City,994938,Quetzaltenango,180706,Escuintla,156313
Guinea,Conakry,1928389,Nzerekore,226426,Kankan,221428
Haiti,Port-au-Prince,1234742,Cap-Haitien,134815,Gonaives,84961
Honduras,Tegucigalpa,850848,San Pedro Sula,801259,Choluteca,75872
Iran,Tehran,7153309,Mashhad,2307177,Isfahan,1547164
Iraq,Baghdad,7216000,Basra,1326564,Mosul,1683000
Ivory Coast,Abidjan,6321017,Adobo,900000,Bouake,832371
Japan,Tokyo,9733276,Osaka,2753862,Yokohama,3777491
Kenya,Nairobi,4397073,Mombasa,1208333,Kisumu,397957
Laos,Vientiane,196731,Pakse,88332,Savannakhet,125760
Madagascar,Antananarivo,1349501,Toamasina,345107,Antsirabe,260907
Malawi,Lilongwe,1115815,Blantyre,902588,Mzuzu,249564
Malaysia,Kuala Lumpur,1453975,George Town,158336,Johor Bahru,858118
Mali,Bamako,4227569,Sikasso,349324,Mopti,186187
Mauritania,Nouakchott,1184530,Nouadhibou,146048,Kiffa,62051
Morocco,Casablanca,3665954,Marrakech,995871,Fez,1191905
Mozambique,Maputo,1254837,Beira,687764,Nampula,770379
Myanmar,Yangon,4477638,Mandalay,1208099,Naypyidaw,925000
Namibia,Windhoek,386219,Walvis Bay,73598,Oshakati,43309
Nepal,Kathmandu,1442271,Pokhara,200000,Bharatpur,369377
Nicaragua,Managua,973087,Leon,144538,Chinandega,126387
Niger,Niamey,1633220,Zinder,663907,Maradi,163487
Nigeria,Lagos,15388000,Kano,4910000,Ibadan,3649000
Pakistan,Karachi,11624219,Lahore,13004135,Islamabad,601600
Panama,Panama City,408168,Colon,76643,David,81957
PNG,Port Moresby,283733,Lae,76255,Mount Hagen,33623
Paraguay,Asuncion,1482200,Ciudad del Este,301815,San Lorenzo,204356
Peru,Lima,7737002,Iquitos,377609,Piura,484475
Philippines,Manila,1600000,Quezon City,2960048,Davao City,1776949
Rwanda,Kigali,1132686,Butare,89600,Gisenyi,48024
Senegal,Dakar,2646503,Touba,753315,Thies,252320
Somalia,Mogadishu,2587183,Hargeisa,477876,Kismayo,234852
South Sudan,Juba,450000,Malakal,160765,Wau,127384
Sri Lanka,Colombo,648034,Kandy,111701,Galle,93118
Sudan,Khartoum,1974647,Port Sudan,489725,Nyala,565734
Tajikistan,Dushanbe,679400,Khujand,191000,Bokhtar,110800
Tanzania,Dar es Salaam,5383728,Mwanza,1104521,Arusha,617631
Thailand,Bangkok,5104476,Chiang Mai,127240,Phuket,79308
Turkey,Istanbul,15701602,Ankara,3517182,Izmir,2500603
Uganda,Kampala,1680600,Gulu,177400,Lira,119323
Venezuela,Caracas,3000000,Maracaibo,2225000,Valencia,1619470
Vietnam,Ho Chi Minh City,8993082,Hanoi,8053663,Da Nang,988561
Yemen,Sana'a,1937451,Aden,863000,Taiz,615222
Zambia,Lusaka,2212301,Ndola,627503,Kitwe,665961
Zimbabwe,Harare,1542813,Bulawayo,1200337,Chitungwiza,371246
