disaster_id,disaster_type,disaster_subtype,country,region,location,lat,lng
1,Epidemic,Viral disease,Afghanistan,Asia,"Darra Souf, Jaghuri, Zindajan, Ghorian Districts, Badakshan, Kunduz, Heart",36.717557,68.867292
2,Epidemic,Viral disease,Afghanistan,Asia,Gulran district (Herat Province),35.105618,61.690075
3,Epidemic,Bacterial disease,Afghanistan,Asia,"Southern, Western and Northern regions (Kandahar, Badghis and Jawzjan provinces respectively)",31.620574,65.715757
4,Epidemic,Infectious disease (General),Afghanistan,Asia,Yakawlang,34.73699,66.97542
5,Epidemic,Bacterial disease,Afghanistan,Asia,"Norhtern region (Khulm, Aibak), north-east region (Faizabad, Kunduz), eastern region, southern region and south-east region.",36.717557,68.867292
6,Epidemic,Infectious disease (General),Afghanistan,Asia,Taiwara-Ghor province,33.52222,64.41692
7,Epidemic,Viral disease,Afghanistan,Asia,Youmgan Valley,45.392209,-63.203217
8,Flood,Flood (General),Afghanistan,Asia,"Yulmarab village (Mazar-e-Sharif district, Balkh province)",36.70716,67.11145
9,Epidemic,Infectious disease (General),Afghanistan,Asia,Waras district (Bamyan province),34.104553,66.729004
10,Flood,Riverine flood,Afghanistan,Asia,"Deh Miran area (Garziwan district, Faryab province)",35.71248,65.22562
11,Epidemic,Infectious disease (General),Afghanistan,Asia,Uruzgan province,32.621813,65.868794
12,Flood,Riverine flood,Afghanistan,Asia,"Qala-e-Naw, Abkamari districts (Badghis province)",34.98773,63.127495
13,Epidemic,Parasitic disease,Afghanistan,Asia,"Kabul, Jalalabad",34.526011,69.177684
14,Epidemic,Infectious disease (General),Afghanistan,Asia,Taiwana district (Ghor province),34.518964,65.25548
15,Epidemic,Infectious disease (General),Afghanistan,Asia,Kabul,34.526011,69.177684
16,Epidemic,Infectious disease (General),Afghanistan,Asia,Badakhshan,37.118751,70.578497
17,Epidemic,Bacterial disease,Afghanistan,Asia,"Aghram, Kuf sub-district, Darwaz, Khawahan districts (Badakshan province)",38.40681,70.81898
18,Earthquake,Ground movement,Afghanistan,Asia,"Chawka, Nurgal, chapa Dara, Dara-e-Pech and Watapur districts (Kunar Province); Dara-e-Nur, Jalalabad city, Behsud and Kuz Kunar district (Nangarhar Province); Alingar, Mehtarlam and Qarghayi districts (Laghman Province); Nuristan province",-4.481577,138.93526
19,Flood,Flood (General),Afghanistan,Asia,Maidan Wardak and Logar provinces,34.393126,68.864105
20,Earthquake,Ground movement,Afghanistan,Asia,"Marmul and Sholgara (Balkh Province); Khulm, Feroz Nakhchir, Hazrat-e-Sultan and Aybak (Samangan Province)",36.44967,67.89497
21,Flood,Flash flood,Afghanistan,Asia,"Sokhtray village (Baghran district, Helmand province), Kajaki district (Helmand province)",33.076984,65.091156
22,Earthquake,Ground movement,Afghanistan,Asia,"Yaka Bagh area (Namakab district, Takhar province)",36.735649,69.535073
23,Flood,Riverine flood,Afghanistan,Asia,"Chashma village (Raghestan district, Badakhshan province) Fayzabad city (Fayzabad district, Badakhshan province) Darwaz district (Badakhshan province)",37.11933,70.57867
24,Flood,Flash flood,Afghanistan,Asia,"Ghandak village (Shibar district, Bamyan province)",34.661716,68.031876
25,Flood,Flash flood,Afghanistan,Asia,"Wardak, Paktia, Paktika, Nangarhar, Nuristan, Parwan and Panjshir provinces",35.013173,69.174162
26,Flood,Flash flood,Afghanistan,Asia,"Kapisa, Khost, Nangarhar, Parwan, Paktia, Paktika, Logar, Ghazni, Kunar, Laghman, Wardak, Nuristan, Zabul, Faryab, Farah, Kundoz, Kandahar, Urozgan provinces",31.620574,65.715757
27,Flood,Riverine flood,Afghanistan,Asia,"Guzara, Injil districts (Hirat province)",34.301567,62.2465
28,Earthquake,Ground movement,Afghanistan,Asia,"Burka, Mullah Jan villages (Burka district, Baghlan province) Nahrin, Guzargah-e-Nur, Khost Wa Fereng, Khwajahejran districts (Baghlan province)",36.014862,69.60237
29,Flood,Flash flood,Afghanistan,Asia,"Herat, Badghis, and Faryab provinces",34.350827,62.2164
30,Flood,Riverine flood,Afghanistan,Asia,"Purchaman district (Farah province), Barakhana, Karistan, Jarmatu villages (Chaghcharan district, Ghor province), Taywarah, Tolak, Shahrak districts (Ghor province), Wardak, Logar, Kapisa provinces",-4.481577,138.93526
31,Epidemic,Bacterial disease,Afghanistan,Asia,"Kabul, Kandahar, Herat, Takhar, Konar, Badakhsthan, Konduz, Baghlan, Nimruz, Nangarha, Jowzjan, and 15 other provinces",34.526011,69.177684
32,Earthquake,Ground movement,Afghanistan,Asia,Jalalabad district (Nangarhar province),34.432316,70.45826
33,Flood,Riverine flood,Afghanistan,Asia,Mazar-e-Sharif district (Balkh province),36.70716,67.11145
34,Flood,Riverine flood,Afghanistan,Asia,"Chagcharan, Shahrak districts (Ghor province), Farkhar district (Takhar province), Taloqan city (Taloqan districts, Takhar province)",34.107548,64.30527
35,Flood,Flash flood,Afghanistan,Asia,"Kodee Kheel, Mam Kheel villages (Sherzad district, Nangarhar province)",34.24966,69.99645
36,Flood,Flood (General),Afghanistan,Asia,Khost province,33.33914,69.920636
37,Flood,Flash flood,Afghanistan,Asia,"Kura Bala, Murcha Dara and Alqajar villages (Shahr-e-Buzorg district, Badakhshan province), Keshem, Yamgan, Jorm, Argo, Koran wa Monjan, Baharak districts (Badakhshan province)",-4.481577,138.93526
38,Flood,Riverine flood,Afghanistan,Asia,"Chapadara, Dara-e-Pech districts (Kunar Province), Khoshan village (Qarabagh District, Kabul Province), Surkh-e-Parsa, Salang districts (Parwan province), Jamal Agha area (Hisa-e-Duwun-e-Kohestan district, Kapisa province), Nejrab, Hisa-e-Awal-e-Kohestan districts (Kapisa province), Emamsaheb, Qala-e-Zal districts (Kunduz province), Rukha, Onaba districts (Panjsher province), Kama District (Nangarrhar province), Wardak, Logar, Laghman provinces",-4.481577,138.93526
39,Flood,Flash flood,Afghanistan,Asia,Lal wa Sarjangal district (Ghor Province),34.499027,66.282295
40,Flood,Flash flood,Afghanistan,Asia,Jalalabad district (Nangarhar province),34.432316,70.45826
41,Epidemic,Bacterial disease,Afghanistan,Asia,"Laghman, Nooristan, Nangarhar (East), Samangan, Faryab (North), Nimruz (West)",34.430195,70.460128
42,Earthquake,Ground movement,Afghanistan,Asia,Samangan province,36.267494,68.021537
43,Flood,Flash flood,Afghanistan,Asia,"Olya Cheshma village (Khanabad district, Kunduz province)",36.717557,68.867292
44,Flood,Riverine flood,Afghanistan,Asia,"Sar-e-Pul city (Sar-e-Pul district), Sayad, Sozmaqala, Kohestanat disctricts (Sar-e-Pul province)",36.214966,65.933303
45,Flood,Riverine flood,Afghanistan,Asia,"Keshendeh, Sholgareh districts (Balkh province), Gelan district (Ghazni province)",32.878563,67.522575
46,Flood,Flash flood,Afghanistan,Asia,Guzargah-e-Nur district (Baghlan province),36.210434,69.53289
47,Earthquake,Ground movement,Afghanistan,Asia,"Ashkasham town (Eshkmesh district, Badakhshan province)",37.118751,70.578497
48,Flood,Flood (General),Afghanistan,Asia,"Badakhshan (Nusay, Shekay, Kuf Ab districts), Kabul (Kabul, Khak-i-Jabbar, Sarobi districts), Nangarhar provinces (Rodat, Kulma districts)",34.534927,69.16998
49,Flood,Flood (General),Afghanistan,Asia,,33.838806,66.026471
50,Flood,Flood (General),Afghanistan,Asia,,33.838806,66.026471
51,Flood,Flash flood,Afghanistan,Asia,Ghazi-Abad district (Kunar province),34.872795,71.150832
52,Flood,Flash flood,Afghanistan,Asia,Kohistan district (Badakhshan province),37.47766,70.618004
53,Flood,Flood (General),Afghanistan,Asia,"Obey, Kohsan, Karrokh, Shindand, Guzara districts (Herat)",34.213043,62.21155
54,Earthquake,Ground movement,Afghanistan,Asia,Hindu Kush Mountain,34.79945,62.136696
