disaster_id,disaster_type,disaster_subtype,country,region,location
1,Epidemic,Viral disease,Afghanistan,Asia,"Darra Souf, Jaghuri, Zindajan, Ghorian Districts, Badakshan, Kunduz, Heart"
2,Epidemic,Viral disease,Afghanistan,Asia,Gulran district (Herat Province)
3,Epidemic,Bacterial disease,Afghanistan,Asia,"Southern, Western and Northern regions (Kandahar, Badghis and Jawzjan provinces respectively)"
4,Epidemic,Infectious disease (General),Afghanistan,Asia,Yakawlang
5,Epidemic,Bacterial disease,Afghanistan,Asia,"Norhtern region (Khulm, Aibak), north-east region (Faizabad, Kunduz), eastern region, southern region and south-east region."
6,Epidemic,Infectious disease (General),Afghanistan,Asia,Taiwara-Ghor province
7,Epidemic,Viral disease,Afghanistan,Asia,Youmgan Valley
8,Flood,Flood (General),Afghanistan,Asia,"Yulmarab village (Mazar-e-Sharif district, Balkh province)"
9,Epidemic,Infectious disease (General),Afghanistan,Asia,Waras district (Bamyan province)
10,Flood,Riverine flood,Afghanistan,Asia,"Deh Miran area (Garziwan district, Faryab province)"
11,Epidemic,Infectious disease (General),Afghanistan,Asia,Uruzgan province
12,Flood,Riverine flood,Afghanistan,Asia,"Qala-e-Naw, Abkamari districts (Badghis province)"
13,Epidemic,Parasitic disease,Afghanistan,Asia,"Kabul, Jalalabad"
14,Epidemic,Infectious disease (General),Afghanistan,Asia,Taiwana district (Ghor province)
15,Epidemic,Infectious disease (General),Afghanistan,Asia,Kabul
16,Epidemic,Infectious disease (General),Afghanistan,Asia,Badakhshan
17,Epidemic,Bacterial disease,Afghanistan,Asia,"Aghram, Kuf sub-district, Darwaz, Khawahan districts (Badakshan province)"
18,Earthquake,Ground movement,Afghanistan,Asia,"Chawka, Nurgal, chapa Dara, Dara-e-Pech and Watapur districts (Kunar Province); Dara-e-Nur, Jalalabad city, Behsud and Kuz Kunar district (Nangarhar Province); Alingar, Mehtarlam and Qarghayi districts (Laghman Province); Nuristan province"
19,Flood,Flood (General),Afghanistan,Asia,Maidan Wardak and Logar provinces
20,Earthquake,Ground movement,Afghanistan,Asia,"Marmul and Sholgara (Balkh Province); Khulm, Feroz Nakhchir, Hazrat-e-Sultan and Aybak (Samangan Province)"
21,Flood,Flash flood,Afghanistan,Asia,"Sokhtray village (Baghran district, Helmand province), Kajaki district (Helmand province)"
22,Earthquake,Ground movement,Afghanistan,Asia,"Yaka Bagh area (Namakab district, Takhar province)"
23,Flood,Riverine flood,Afghanistan,Asia,"Chashma village (Raghestan district, Badakhshan province) Fayzabad city (Fayzabad district, Badakhshan province) Darwaz district (Badakhshan province)"
24,Flood,Flash flood,Afghanistan,Asia,"Ghandak village (Shibar district, Bamyan province)"
25,Flood,Flash flood,Afghanistan,Asia,"Wardak, Paktia, Paktika, Nangarhar, Nuristan, Parwan and Panjshir provinces"
26,Flood,Flash flood,Afghanistan,Asia,"Kapisa, Khost, Nangarhar, Parwan, Paktia, Paktika, Logar, Ghazni, Kunar, Laghman, Wardak, Nuristan, Zabul, Faryab, Farah, Kundoz, Kandahar, Urozgan provinces"
27,Flood,Riverine flood,Afghanistan,Asia,"Guzara, Injil districts (Hirat province)"
28,Earthquake,Ground movement,Afghanistan,Asia,"Burka, Mullah Jan villages (Burka district, Baghlan province) Nahrin, Guzargah-e-Nur, Khost Wa Fereng, Khwajahejran districts (Baghlan province)"
29,Flood,Flash flood,Afghanistan,Asia,"Herat, Badghis, and Faryab provinces"
30,Flood,Riverine flood,Afghanistan,Asia,"Purchaman district (Farah province), Barakhana, Karistan, Jarmatu villages (Chaghcharan district, Ghor province), Taywarah, Tolak, Shahrak districts (Ghor province), Wardak, Logar, Kapisa provinces"
31,Epidemic,Bacterial disease,Afghanistan,Asia,"Kabul, Kandahar, Herat, Takhar, Konar, Badakhsthan, Konduz, Baghlan, Nimruz, Nangarha, Jowzjan, and 15 other provinces"
