"year","countrycode","boys_reached","boys_targeted","girls_reached","girls_targeted","men_reached","men_targeted","women_reached","women_targeted","total_reached","total_targeted"
"2026","UKR","0","472","0","473","0","1085","0","1470","0","3500"
"2025","AFG","248331","1043121","235492","1048281","228279","929779","286644","1238419","998746","4259600"
"2025","CAR","1580","106832","1545","144057","1163","193764","2474","360530","6762","805183"
"2025","DRC","79416","460294","91638","634962","60416","431731","98800","657162","330270","2184149"
"2025","ETH","181322","723404","205226","869769","385506","907494","455484","1231488","1227538","3732155"
"2025","LBN","20856","246563","20559","254764","42403","361285","46479","410253","130297","1272865"
"2025","MMR","50554","200495","52490","231546","126966","367128","192677","454494","422687","1253663"
"2025","NGA","189527","478040","213161","577843","155226","325324","261242","573632","819156","1954839"
"2025","PSE","405602","1179562","395678","1140576","529917","1511852","552131","1962014","1883328","5794004"
"2025","SOM","37078","523709","44314","631344","58303","440368","97946","889341","237641","2484762"
"2025","SSD","241920","1003048","263514","1155245","244737","1110862","402669","1689086","1152840","4958241"
"2025","SDN","353649","2442071","374549","2723149","458421","2348761","529960","2913701","1716579","10427682"
"2025","SYR","71453","793138","72055","811413","58215","754052","113322","909582","315045","3268185"
"2025","UKR","31320","136187","36782","155676","91239","360529","145504","650604","304845","1302996"
"2025","VEN","3513","29597","4708","39372","3593","27579","10417","71434","22231","167982"
"2025","YEM","59524","277081","66241","280228","43396","245013","71084","309586","240245","1111908"
"2024","AFG","735124","711152","789495","790401","469683","647241","811364","929376","2805666","3078170"
"2024","CAR","122845","97576","159545","125927","109311","99847","206023","204187","597724","527537"
"2024","DRC","343950","379655","428034","445542","333659","363447","535472","499039","1641115","1687683"
"2024","ETH","1167665","1097230","1248470","1175790","1140891","1268301","1645843","1635174","5202869","5176495"
"2024","LBN","433060","445084","446746","467125","821151","782023","972507","904354","2673464","2598586"
"2024","MMR","149761","242890","164429","274012","277209","379738","391638","452645","983037","1349285"
"2024","NGA","420518","371600","527699","464974","342936","271274","570215","461212","1861368","1569060"
"2024","PSE","1883864","2443539","1830894","2481890","2095694","2579932","2656791","3079326","8467243","10584687"
"2024","SOM","304134","330513","353599","383823","291521","312455","501030","524989","1450284","1551780"
"2024","SSD","957809","1047014","1071346","1151822","988644","1030149","1295170","1220518","4312969","4449503"
"2024","SDN","2040737","2097421","2405546","2356183","2142892","2379962","3104436","3288184","9693611","10121750"
"2024","SYR","477261","805079","552354","878708","150677","588369","271342","794042","1451634","3066198"
"2024","UKR","142984","145550","150697","164658","525566","466057","706323","619926","1525570","1396191"
"2024","VEN","19744","24507","23890","32057","17687","43097","54923","77559","116244","177220"
"2024","YEM","419233","409241","398817","415875","269328","309905","409146","433765","1496524","1568786"
"2023","AFG","2487451","1962763","2430588","1928911","2859738","2242274","3656892","2644104","11434669","8778052"
"2023","CAR","231481","168772","277330","216063","392601","358693","483559","431815","1384971","1175343"
"2023","DRC","583308","543284","726543","660933","607732","438157","1085731","739510","3003314","2381884"
"2023","ETH","791910","664522","823428","707138","882940","775933","1081003","958057","3579281","3105650"
"2023","LBN","61447","46339","66457","49244","156520","66195","182667","82788","467091","244566"
"2023","MMR","303789","259057","328511","278663","514148","483194","688246","580017","1834694","1600931"
"2023","NGA","443632","313305","629530","506095","403705","265716","785838","557125","2262705","1642241"
"2023","PSE","2257450","1704993","2220574","1684968","2545936","1957138","2986492","2122207","10010452","7469306"
"2023","SOM","558749","1240860","640619","1596167","485833","880122","934888","1713758","2620089","5430907"
"2023","SSD","785023","682642","897191","772656","879653","786212","1140818","1013981","3702685","3255491"
"2023","SDN","2044080","1764444","2314569","2236966","2378503","2166893","3232570","2859834","9969722","9028137"
"2023","SYR","1521688","1309517","1535950","1310831","1274928","1204527","1825127","1490415","6157693","5315290"
"2023","UKR","491262","504747","514687","576174","1640940","3064243","2264821","2529462","4911710","6674626"
"2023","VEN","51749","42538","63599","56685","34439","33811","103379","88876","253166","221910"
"2023","YEM","962112","847931","981900","858515","1565199","1497190","1205094","901234","4714305","4104870"
"2022","AFG","6468761","5483486","6631310","5676599","7272673","6557923","7419197","6510107","27791941","24228115"
"2022","CAR","229852","223337","228324","231997","213165","212745","253035","250653","924376","918732"
"2022","DRC","418816","343048","480992","372115","445564","370307","645274","504723","1990646","1590193"
"2022","ETH","1651920","1460499","1750604","1524194","1968072","1504402","2312040","1918205","7682636","6407300"
"2022","IRQ","55187","37834","55178","37345","53735","37292","59717","39426","223817","151897"
"2022","JOR","2","2","4","3","59","54","61","53","126","112"
"2022","LBN","548235","241033","598791","244009","726484","228505","741712","323720","2615222","1037267"
"2022","MMR","202530","193963","211337","201260","267987","256886","368023","313570","1049877","965679"
"2022","NGA","1155041","973723","1398726","1221346","908283","726496","1349462","1086711","4811512","4008276"
"2022","PSE","500532","662416","463917","643760","981641","819749","994271","809595","2940361","2935520"
"2022","SOM","764568","709124","871586","795189","609505","616567","1126815","1010720","3372474","3131600"
"2022","SSD","680420","604410","712738","621294","556084","600513","836999","706847","2786241","2533064"
"2022","SDN","1223116","1091654","1327357","1187737","1249495","1486843","1627125","1767241","5427093","5533475"
"2022","SYR","2138161","2605566","2072411","2377294","2300997","2849190","3175055","3854127","9686624","11686177"
"2022","UKR","725491","631324","792666","689438","2131422","1671723","3172175","2465429","6821754","5457914"
"2022","VEN","37555","29037","43504","38696","52887","27611","94325","60587","228271","155931"
"2022","YEM","2822949","2658725","2750635","2594452","2285149","2260619","2468074","2333798","10326807","9847594"
"2021","AFG","5670698","5386598","5604683","5321315","7981222","7866417","10405493","9886305","29662096","28460635"
"2021","CAR","585690","794240","623212","820592","730900","840911","1000174","1075571","2939976","3531314"
"2021","DRC","786176","638156","918140","792755","711158","531181","1126064","852956","3541538","2815048"
"2021","ETH","4345361","4281857","4454928","4262322","4651029","8733626","5766601","9463927","19217919","26741732"
"2021","IRQ","291235","171680","325586","188760","301917","219137","389676","256272","1308414","835849"
"2021","JOR","15049","15451","21080","16478","4807","5463","22071","21847","63007","59239"
