"countrycode","year","cbpf_funding","cbpf_target","hrp_funding","hrp_requirements"
"AFG",2018,45858472,89838599.7,468081115,598923998
"AFG",2019,93422816.5,69223347.3,468081115,598923998
"AFG",2020,60322000.62,69750236.25,465001575,611759986
"AFG",2021,270086768.99,88356780,589045199,1131050820
"AFG",2022,275304110.04,136066874,979642063,868666483
"AFG",2023,82381456.87,498201684,3321344563,4442200000
"AFG",2024,54336556.24,243793270.95,1625288473,3059587797
"AFG",2025,54336556.24,243793270.95,1625288473,3059587797
"BFA",2021,20149168.37,38701520,258010130,424357861
"BFA",2022,16483379.75,44602404,302785548,607875894
"BFA",2023,17700812.1,46948049.55,312986997,805099698
"BFA",2024,13133577.2,64472470.35,429816469,934604385
"BFA",2025,13133577.2,64472470.35,429816469,934604385
"CAF",2018,27585229.61,77340000,280471051,515600000
"CAF",2019,28746097.8,41018298.75,280471051,515600000
"CAF",2020,30300096.3,45497840.85,303318939,430700000
"CAF",2021,34291228.53,55977108,373180721,553622290
"CAF",2022,29525819.24,59448073,406193170,444760000
"CAF",2023,22601063.17,62857945.8,419052972,461253975
"CAF",2024,16687305.47,36067006.95,240446713,367670976
"CAF",2025,16687305.47,36067006.95,240446713,367670976
"COD",2018,90144087.52,251280000,824649069,1675200000
"COD",2019,73763057.93,115269322.65,824649069,1675200000
"COD",2020,57101727.79,107006039.4,713373596,1653700000
"COD",2021,57796110.01,123943470,826289801,2069134820
"COD",2022,46356560.12,130744922,872811977,1984303303
"COD",2023,40548638.55,139434488.6,929563257,1881674597
"COD",2024,51263370.47,204123630.45,1360824203,2580627746
"COD",2025,51263370.47,204123630.45,1360824203,2580627746
"COL",2024,0,29741992.65,198279951,331990687
"COL",2025,0,29741992.65,198279951,331990687
"ETH",2018,75656602.08,176582793,655870393,1177218620
"ETH",2019,63444325.09,98380558.95,655870393,1177218620
"ETH",2020,61755152.79,96223841.25,641492275,844548490
"ETH",2021,93247855.46,108499159,723327725,1250804122
"ETH",2022,71004424.42,130744922,705677915,1488027181
"ETH",2023,75086925.23,246981365.1,1646542434,3335002211
"ETH",2024,32786823.63,152566818.9,1017112126,3235782784
"ETH",2025,32786823.63,152566818.9,1017112126,3235782784
"HTI",2024,0,44193668.1,294624454,673767352
"HTI",2025,0,44193668.1,294624454,673767352
"IRQ",2018,56980089.62,85311843.75,553374294,568745625
"IRQ",2019,24241502.25,81643808.55,553374294,568745625
"IRQ",2020,23578813.97,97309486.8,648729912,701154139
"IRQ",2021,24998785.66,91872129,612480859,662168145
"IRQ",2022,3063234.87,57173433,386735960,607196803
"LBN",2018,10622883.67,20000000,1036800000,2290900000
"LBN",2019,13175693.51,20000000,939900000,2290900000
"LBN",2020,22170201.25,20000000,917042340,2240773283
"LBN",2021,27050129.5,25000000,100,100
"LBN",2022,24237038.66,8623220,100,100
"LBN",2023,32568787.87,41937664.35,279584429,378175867
"LBN",2024,26786245.6,56341091.55,375607277,425745000
"LBN",2025,26786245.6,56341091.55,375607277,425745000
"MLI",2023,7588778.91,42731776,284878507,685734819
"MLI",2024,10961977.66,41477915.4,276519436,701569941
"MLI",2025,10961977.66,41477915.4,276519436,701569941
"MMR",2018,14342647.76,27510000,138225304,183400000
"MMR",2019,16641142.65,21137776.8,138225304,183400000
"MMR",2020,16700475.88,27574517.25,183830115,214360000
"MMR",2021,20870775.97,27968424,186456157,275300000
"MMR",2022,28688246.19,37689067,251260447,385617765
"MMR",2023,32719229.34,51081995,340546633,825698032
"MMR",2024,33955368.8,58759794.9,391731966,993548103
"MMR",2025,33955368.8,58759794.9,391731966,993548103
"MOZ",2024,3295370.01,25409107.05,169394047,413420177
"MOZ",2025,3295370.01,25409107.05,169394047,413420177
"NER",2021,15884493.49,56430747,376204982,516074957
"NER",2022,15215882.84,33334059,265866506,523182880
"NER",2023,7722321.1,52861952.7,352413018,552598446
