"countrycode","year","cluster","requirements","funding","percentfunded"
"AFG","2026","Aviation","14700000","654292","4"
"AFG","2026","Coordination and Common Services","24700000","3638398","15"
"AFG","2026","Education","60040000","7833533","13"
"AFG","2026","Emergency Shelter and NFI","160285975","3520751","2"
"AFG","2026","Food Security and Agriculture","651101609","38342756","6"
"AFG","2026","Health","190768456","26561586","14"
"AFG","2026","Multipurpose Cash","14709848","7048179","48"
"AFG","2026","Nutrition","298043835","5669605","2"
"AFG","2026","Protection","136487975","31130961","23"
"AFG","2026","Water, Sanitation and Hygiene","163343798","6144459","4"
"AFG","2025","Aviation","31000000","6986713","23"
"AFG","2025","Coordination and Common Services","34120000","6237418","18"
"AFG","2025","Education","93276385","80113551","86"
"AFG","2025","Emergency Shelter and NFI","179139629","28287010","16"
"AFG","2025","Food Security and Agriculture","1089437667","202583088","19"
"AFG","2025","Health","279735840","127002611","45"
"AFG","2025","Nutrition","296446414","102302656","35"
"AFG","2025","Protection","149397555","126497153","85"
"AFG","2025","Water, Sanitation and Hygiene","264258056","49278905","19"
"AFG","2024","Aviation","41300000","33790914","82"
"AFG","2024","Border Consortium Appeal","24300000","18407478","76"
"AFG","2024","Coordination and Common Services","35951769","17100689","48"
"AFG","2024","Education","140022000","76136486","54"
"AFG","2024","Emergency Shelter and NFI","227104769","74403857","33"
"AFG","2024","Food Security and Agriculture","1431355944","697482357","49"
"AFG","2024","Health","367002781","128451413","35"
"AFG","2024","Nutrition","299020288","135981835","45"
"AFG","2024","Protection","165758757","122870330","74"
"AFG","2024","Water, Sanitation and Hygiene","327771489","69617249","21"
"AFG","2023","Aviation","33000000","11985633","36"
"AFG","2023","Coordination and Common Services","37050453","22881565","62"
"AFG","2023","Education","182200000","98137007","54"
"AFG","2023","Emergency Shelter and NFI","187588056","72024790","38"
"AFG","2023","Food Security and Agriculture","1570456764","804223813","51"
"AFG","2023","Health","412654818","196785895","48"
"AFG","2023","Nutrition","364544390","109288033","30"
"AFG","2023","Protection","116823737","102651309","88"
"AFG","2023","Water, Sanitation and Hygiene","323054690","87056692","27"
"AFG","2022","Aviation","85000000","32215848","38"
"AFG","2022","Coordination and Common Services","25600000","49975288","195"
"AFG","2022","Education","162100000","155928597","96"
"AFG","2022","Emergency Shelter and NFI","374000000","124659405","33"
"AFG","2022","Food Security and Agriculture","2660000000","1501902017","56"
"AFG","2022","Health","378000000","233022302","62"
"AFG","2022","Nutrition","287400000","377259913","131"
"AFG","2022","Protection","137300000","172225927","125"
"AFG","2022","Water, Sanitation and Hygiene","332800000","97661043","29"
"AFG","2021","Aviation","9000000","10332049","115"
"AFG","2021","Coordination and Common Services","4260000","10886503","256"
"AFG","2021","Education in Emergencies","76540000","21695823","28"
"AFG","2021","Emergency Shelter and NFI","85900000","67752553","79"
"AFG","2021","Food Security and Agriculture","351300000","259740144","74"
"AFG","2021","Health","118000000","81341116","69"
"AFG","2021","Nutrition","82099078","123836217","151"
"AFG","2021","Protection","79367405","51582634","65"
"AFG","2021","Water, Sanitation and Hygiene","62200000","48219862","78"
"AFG","2021","Aviation","40700000","12411391","30"
"AFG","2021","Coordination and Support Services","13700000","3886441","28"
"AFG","2021","Education in Emergencies","12708400","9630631","76"
"AFG","2021","Emergency Shelter and NFI","35000000","31691807","91"
"AFG","2021","Food Security and Agriculture","270000000","325211913","120"
"AFG","2021","Health","66000000","106384831","161"
"AFG","2021","Nutrition","56279763","103131404","183"
"AFG","2021","Protection","45373000","22890108","50"
"AFG","2021","Water, Sanitation and Hygiene","66500000","5167","0"
"AFG","2020","Aviation","25000000","7982215","32"
"AFG","2020","Coordination","14939040","5215523","35"
"AFG","2020","Education in Emergencies","47281253","15200025","32"
