"Year","countrycode","Cluster","Total_Allocations","Targeted_People","Reached_People"
"2026","UKR","Protection","199080.99","3500","0"
"2025","AFG","Emergency Shelter and NFI","7806545.6","96480","42210"
"2025","AFG","Food Security","12924865","577065","248956"
"2025","AFG","Health","12348199.18","1617088","178568"
"2025","AFG","Multi-Sector","4165707.69","101459","55598"
"2025","AFG","Nutrition","6949906.390000001","591842","141367"
"2025","AFG","Protection","10656474.57","511351","100949"
"2025","AFG","Water, Sanitation and Hygiene","18587044.53","764292","231088"
"2025","BFA","Education","339390.8","7550","0"
"2025","BFA","Emergency Shelter and NFI","928325.25","13562","450"
"2025","BFA","Food Security","2363250.08","63402","600"
"2025","BFA","Health","536000","50124","0"
"2025","BFA","Nutrition","1033799.51","44604","0"
"2025","BFA","Protection","1841904.29","39776","0"
"2025","BFA","Water, Sanitation and Hygiene","1954888.2599999998","31557","450"
"2025","CAR","Coordination and Support Services","400000","596000","0"
"2025","CAR","Education","320000","18341","0"
"2025","CAR","Emergency Shelter and NFI","400000","2500","0"
"2025","CAR","Food Security","1024000","15121","0"
"2025","CAR","Health","795500","37686","1580"
"2025","CAR","Nutrition","510000","24467","1580"
"2025","CAR","Protection","1810000","68731","3601"
"2025","CAR","Water, Sanitation and Hygiene","1840500.01","42332","0"
"2025","TCD","Emergency Shelter and NFI","2439999.7199999997","10911","0"
"2025","TCD","Food Security","2266293.5","16435","0"
"2025","TCD","Health","2201999.42","231919","0"
"2025","TCD","Nutrition","560000","26043","0"
"2025","TCD","Water, Sanitation and Hygiene","3147999.29","293972","0"
"2025","DRC","Education","1037000.0900000001","92527","18930"
"2025","DRC","Emergency Shelter and NFI","2450500.01","63746","17031"
"2025","DRC","Food Security","5281500","143516","39879"
"2025","DRC","Health","4615000.13","383857","73500"
"2025","DRC","Multi-Sector","2253939.73","99710","0"
"2025","DRC","Nutrition","2938500.02","264368","66813"
"2025","DRC","Protection","6882000.12","784921","62874"
"2025","DRC","Water, Sanitation and Hygiene","4338126.48","351465","51219"
"2025","ETH","Camp Coordination / Management","857995.54","227710","139715"
"2025","ETH","Education","3999959.8","105815","21535"
"2025","ETH","Emergency Shelter and NFI","4634437.05","307747","35843"
"2025","ETH","Food Security","2929396.2199999997","194301","16508"
"2025","ETH","Health","6276878.800000001","843674","419833"
"2025","ETH","Multi-purpose CASH","1702981.02","129462","0"
"2025","ETH","Nutrition","6256428.33","514254","100675"
"2025","ETH","Protection","10119293.629999999","546558","150090"
"2025","ETH","Water, Sanitation and Hygiene","7423490.289999999","862564","343328"
"2025","HTI","Education","378411.83","4992","0"
"2025","HTI","Emergency Shelter and NFI","301574.07999999996","8755","0"
"2025","HTI","Food Security","150000","7911","0"
"2025","HTI","Health","131221.37","3376","0"
"2025","HTI","Nutrition","164996.57","770","0"
"2025","HTI","Protection","608712.47","8008","0"
"2025","HTI","Water, Sanitation and Hygiene","427442.74","15455","0"
"2025","LBN","Coordination and Support Services","149999.96","200000","100000"
"2025","LBN","Education","461321.08","2539","0"
"2025","LBN","Emergency Shelter and NFI","3797413.7399999998","29820","2831"
"2025","LBN","Food Security","10680963.56","77233","11343"
"2025","LBN","Health","7309375.33","139786","15255"
"2025","LBN","Nutrition","554782.08","10822","735"
"2025","LBN","Protection","3468477.9000000004","27705","24"
"2025","LBN","Water, Sanitation and Hygiene","8670772.99","784935","105"
"2025","MLI","Emergency Shelter and NFI","2572281.24","38408","270"
"2025","MLI","Food Security","3313143.19","55981","5438"
"2025","MLI","Health","684087.33","23382","0"
"2025","MLI","Nutrition","268538.96","12597","0"
"2025","MLI","Water, Sanitation and Hygiene","1174286.51","25050","810"
"2025","MOZ","Coordination and Support Services","115591","1188000","0"
"2025","MOZ","Emergency Shelter and NFI","116918.68","1850","661"
"2025","MOZ","Food Security","600886.96","10831","7590"
"2025","MOZ","Nutrition","155236.84","2753","420"
"2025","MOZ","Protection","295835.04","3731","0"
"2025","MOZ","Water, Sanitation and Hygiene","1003408.73","23362","14136"
"2025","MMR","Education","1197969.3599999999","38667","8713"
"2025","MMR","Emergency Shelter and NFI","6516474.87","217683","60980"
"2025","MMR","Food Security","3391820.33","105028","15557"
"2025","MMR","Health","3925415.13","181778","56363"
"2025","MMR","Multi-purpose CASH","8782236.23","308781","85084"
"2025","MMR","Nutrition","1750653.02","59783","29424"
"2025","MMR","Protection","4562872.83","153661","113117"
"2025","MMR","Water, Sanitation and Hygiene","5720941.2","188186","53395"
"2025","NER","Food Security","2338625.34","44786","0"
"2025","NER","Health","934417.75","40459","0"
"2025","NER","Protection","624999.26","23018","0"
"2025","NER","Water, Sanitation and Hygiene","1099969.25","75904","0"
"2025","NGA","Camp Coordination / Management","360499.94","42891","34953"
"2025","NGA","Coordination and Support Services","199828.61","250000","265522"
"2025","NGA","Emergency Shelter and NFI","60000","3550","0"
"2025","NGA","Emergency Telecommunications","100000.62","60","0"
"2025","NGA","Food Security","2199500.42","78290","58132"
"2025","NGA","Health","4526671.47","555827","186902"
"2025","NGA","Nutrition","6415453.12","598200","192060"
"2025","NGA","Protection","3436696.36","199737","28848"
"2025","NGA","Water, Sanitation and Hygiene","2199374.67","226256","52724"
"2025","PSE","Camp Coordination / Management","250000","40272","0"
"2025","PSE","Coordination and Support Services","397910.04","1043455","0"
"2025","PSE","Education","4749524.4399999995","35100","16295"
"2025","PSE","Emergency Shelter and NFI","12104559.45","321595","30995"
"2025","PSE","Food Security","10169360.91","131358","67155"
"2025","PSE","Health","9248146.46","514950","266095"
"2025","PSE","Multi-purpose CASH","9666594.15","106452","49178"
"2025","PSE","Nutrition","1300001.22","55800","6499"
"2025","PSE","Protection","7643527.77","2362511","450859"
"2025","PSE","Water, Sanitation and Hygiene","10398557.669999998","1182511","996252"
"2025","PAK","Emergency Shelter and NFI","305912.62","16042","2811"
"2025","PAK","Food Security","689517.1699999999","84013","11244"
"2025","PAK","Health","31203.31","13425","594"
"2025","PAK","Water, Sanitation and Hygiene","606151.54","181847","23967"
"2025","SOM","Food Security","16591391.330000002","298105","46700"
"2025","SOM","Health","10664259.440000001","871918","90163"
"2025","SOM","Multi-Sector","1450112.8399999999","25676","10000"
"2025","SOM","Nutrition","10520683.629999999","656776","0"
"2025","SOM","Protection","2029565.5699999998","35855","1191"
"2025","SOM","Water, Sanitation and Hygiene","15987502.419999998","596426","89587"
"2025","SSD","Camp Coordination / Management","400000","36747","37188"
"2025","SSD","Education","797190.01","39852","16564"
"2025","SSD","Emergency Shelter and NFI","3743503.52","239864","42982"
"2025","SSD","Food Security","6838780.16","1298394","0"
"2025","SSD","Health","11444204.010000002","2005437","817986"
"2025","SSD","Nutrition","6299714.27","294182","7341"
"2025","SSD","Protection","5096572.05","160322","13984"
"2025","SSD","Water, Sanitation and Hygiene","9805851.07","883421","216795"
"2025","SDN","Camp Coordination / Management","520000","61360","0"
"2025","SDN","Coordination and Support Services","2000000.6","2172","2245"
"2025","SDN","Emergency Shelter and NFI","13622229.98","628744","222037"
"2025","SDN","Food Security","17275142.68","1216886","348954"
"2025","SDN","Health","27877349.990000002","2055100","201042"
"2025","SDN","Multi-purpose CASH","6422750.01","371177","30917"
"2025","SDN","Nutrition","14511427.55","1189091","81176"
"2025","SDN","Protection","27855750.96","2933618","458023"
"2025","SDN","Water, Sanitation and Hygiene","25091801.27","1969463","372151"
"2025","SYR","Camp Coordination / Management","450000","24244","0"
"2025","SYR","Early Recovery","4157048.82","73564","0"
"2025","SYR","Education","4436284.17","85642","0"
"2025","SYR","Emergency Shelter and NFI","7326192.71","143833","10164"
"2025","SYR","Food Security","6097756.28","228382","31108"
"2025","SYR","Health","3720215.0599999996","1032110","145334"
"2025","SYR","Logistics","700003.2","1","1"
"2025","SYR","Multi-purpose CASH","2546133.29","71103","0"
"2025","SYR","Nutrition","1004865.06","137190","0"
"2025","SYR","Protection","4890197.26","246853","29328"
"2025","SYR","Water, Sanitation and Hygiene","14328915.860000001","1225235","99106"
"2025","SYR","Camp Coordination / Management","1112738.8599999999","30185","5202"
"2025","SYR","Early Recovery","4529460.66","115511","22866"
"2025","SYR","Education","4953800.49","77498","0"
"2025","SYR","Emergency Shelter and NFI","6561074.88","249400","5329"
"2025","SYR","Food Security","4008751.42","197292","15654"
"2025","SYR","Health","8430916.78","2038874","95761"
"2025","SYR","Multi-purpose CASH","7370568.26","257857","24005"
"2025","SYR","Nutrition","1882611.35","193612","5510"
"2025","SYR","Protection","6097486.72","440291","36609"
"2025","SYR","Water, Sanitation and Hygiene","4168342.96","4414293","67576"
"2025","UKR","Camp Coordination / Management","26306171.98","110121","12813"
"2025","UKR","Coordination and Support Services","12000000","30","0"
"2025","UKR","Education","5791172.3100000005","54931","23529"
"2025","UKR","Emergency Shelter and NFI","65761636.67","246344","69337"
"2025","UKR","Food Security","4116818.1399999997","17776","1029"
"2025","UKR","Health","12995746.690000001","142532","12853"
"2025","UKR","Multi-purpose CASH","10233107.96","52619","1326"
"2025","UKR","Protection","52634440.86","486830","57312"
"2025","UKR","Water, Sanitation and Hygiene","11367842.72","191731","126615"
"2025","VEN","Education","534505.3200000001","3091","223"
"2025","VEN","Food Security","219995.14","1791","379"
"2025","VEN","Health","2836486.17","65798","11611"
"2025","VEN","Nutrition","482448","16278","0"
"2025","VEN","Protection","3893969.37","59028","8977"
"2025","VEN","Water, Sanitation and Hygiene","998111.9400000001","21978","1033"
"2025","YEM","Camp Coordination / Management","1208390.44","30932","6558"
"2025","YEM","Education","181731.97","1469","1870"
"2025","YEM","Emergency Shelter and NFI","1839424.9200000002","50657","11441"
"2025","YEM","Food Security","5158423.88","138651","28081"
"2025","YEM","Health","3009011.5100000002","231287","58429"
"2025","YEM","Multi-purpose CASH","723616.07","21861","1184"
"2025","YEM","Multi-Sector","992392.47","3600","3083"
"2025","YEM","Nutrition","1545061.13","78064","10285"
"2025","YEM","Protection","2881600.5999999996","139454","52385"
"2025","YEM","Water, Sanitation and Hygiene","5082430.5600000005","415897","66907"
"2024","AFG","Education","1467041.86","39501","42693"
"2024","AFG","Emergency Shelter and NFI","16577031.52","327504","347044"
"2024","AFG","Food Security","7821352.62","248109","272470"
"2024","AFG","Health","7980913.59","881546","625768"
"2024","AFG","Multi-Sector","3400539.67","46968","34753"
"2024","AFG","Nutrition","2900454.7","408231","376915"
"2024","AFG","Protection","6195832.71","741788","685927"
"2024","AFG","Water, Sanitation and Hygiene","8870162.4","384511","420078"
"2024","BFA","Camp Coordination / Management","119999.66","3194","4306"
"2024","BFA","Emergency Shelter and NFI","1689933.4700000002","19784","29130"
"2024","BFA","Food Security","3487019.6","99641","88668"
"2024","BFA","Health","2640498.6","97976","79965"
"2024","BFA","Nutrition","1563999.33","53908","65879"
"2024","BFA","Protection","3403017.82","81784","83325"
"2024","BFA","Water, Sanitation and Hygiene","1095451.5","36155","34421"
"2024","CAR","Camp Coordination / Management","662459.35","24700","25351"
"2024","CAR","Education","100000","847","847"
"2024","CAR","Emergency Shelter and NFI","2113209.35","43652","46772"
"2024","CAR","Food Security","1434250","19311","16907"
"2024","CAR","Health","40000","2755","2457"
"2024","CAR","Nutrition","1672000.02","79335","100543"
"2024","CAR","Protection","9104998.94","266715","276449"
"2024","CAR","Water, Sanitation and Hygiene","3372999.9699999997","90209","128385"
"2024","COL","Early Recovery","254488.7","678","212"
"2024","COL","Education","223323.36","3653","1729"
"2024","COL","Food Security","628792.4","6313","2717"
"2024","COL","Health","267069.83","3538","1058"
"2024","COL","Protection","1155501.54","10795","5382"
"2024","COL","Water, Sanitation and Hygiene","476839.25","5438","1571"
"2024","DRC","Education","1997000","35686","36042"
"2024","DRC","Emergency Shelter and NFI","2710000","44166","44425"
"2024","DRC","Food Security","9344500.01","231504","228721"
"2024","DRC","Health","4347000","479321","471266"
"2024","DRC","Multi-Sector","1028000","26493","22913"
