"countrycode","life_expectancy","infant_mortality","maternal_mortality_ratio","physicians_per_thousand","out_of_pocket_health_pct","birth_rate","fertility_rate","gdp","population","urban_population","unemployment_rate","latitude","longitude","vulnerability_score"
"AFG",64.5,47.9,638,0.28,78.4,32.49,4.47,19101353833,38041754,9797273,11.12,33.93911,67.709953,56.96
"BFA",61.2,49,320,0.08,36.1,37.93,5.19,15745810235,20321378,6092349,6.26,12.238333,-1.561593,51.46
"CAF",52.8,84.5,829,0.06,39.6,35.35,4.72,2220307369,4745185,1982064,3.68,6.611111,20.939444,76.27
"TCD",54,71.4,1140,0.04,56.4,42.17,5.75,11314951343,15946876,3712273,1.89,15.454166,18.732207,78.96
"COL",77.1,12.2,83,2.18,18.3,14.88,1.81,323802808108,50339443,40827302,9.71,4.570868,-74.297333,12.78
"ETH",66.2,39.1,401,0.08,37.8,32.34,4.25,96107662398,112078730,23788710,2.08,9.145,40.489673,46.34
"HTI",63.7,49.5,480,0.23,36.3,24.35,2.94,8498981821,11263077,6328948,13.78,18.971187,-72.285215,51.44
"IRQ",70.5,22.5,79,0.71,76.5,29.08,3.67,234094042939,39309783,27783368,12.82,33.223191,43.679291,33.96
"LBN",78.9,6.4,29,2.1,32.1,17.55,2.09,53367042272,6855713,6084994,6.23,33.854721,35.862285,10.71
"MLI",58.9,62,562,0.13,46.3,41.54,5.88,17510141171,19658031,8479688,7.22,17.570692,-3.996166,61.43
"MOZ",60.2,54,289,0.08,6.8,37.52,4.85,14934159926,30366036,11092106,3.24,-18.665695,35.529562,50.1
"MMR",66.9,36.8,250,0.68,73.9,17.55,2.15,76085852617,54045420,16674093,1.58,21.916221,95.955974,43.27
"NER",62,48,509,0.04,52.3,46.08,6.91,12928145120,23310715,3850231,0.47,17.607789,8.081666,55.51
"NGA",54.3,75.7,917,0.38,72.2,37.91,5.39,448120428859,200963599,102806948,8.1,9.081999,8.675277,75.94
"PAK",67.1,57.2,140,0.98,66.5,28.25,3.51,304400000000,216565318,79927762,4.45,30.375321,69.345116,44.13
"SDN",65.1,42.1,295,0.26,63.2,32.18,4.41,18902284476,42813238,14957233,16.53,12.862807,30.217636,47.88
"SYR",71.8,14,31,1.22,53.7,23.69,2.81,40405006007,17070135,9358019,8.37,34.802075,38.996815,25.12
"UKR",71.6,7.5,19,2.99,47.8,8.7,1.3,153781069118,44385155,30835699,8.88,48.379433,31.16558,14.02
"VEN",72.1,21.4,125,1.92,45.8,17.88,2.27,482359318768,28515829,25162368,8.8,6.42375,-66.58973,24
"YEM",66.1,42.9,164,0.31,81,30.45,3.79,26914402224,29161922,10869523,12.91,15.552727,48.516388,46.59
